Name,P/E,Volume,P/S,Change from 52-week(%),low($),high($)
"U.S. Bancorp Comm",13.45,0,4.08,31.99,41.86
"ProShares Ultra 7",N/A,0,N/A,48.59,59.10
"United Technologi",18.05,0,1.65,88.37,118.20
"Varian Medical Sy",20.04,0,2.81,63.10,84.24
"V.F. Corporation ",22.53,0,2.34,37.575,63.45
"VIA.B",N/A,N/A,N/A,N/A,N/A
"Valero Energy Cor",9.59,0,0.19,33.00,53.64
"Vulcan Materials ",349.63,0,3.08,45.42,67.97
"Vornado Realty Tr",34.11,0,5.88,76.19,95.49
"VeriSign, Inc.",15.50,0,7.49,43.28,62.96
"Verizon Communica",11.84,0,1.12,44.11,54.31
"Walgreen Co. Comm",22.85,0,0.84,39.74,67.00
"Waters Corporatio",21.31,0,4.95,87.85,111.00
"WB",N/A,N/A,N/A,N/A,N/A
"Wendy's Company (",97.37,0,1.43,5.23,9.51
"Wells Fargo & Com",11.82,0,2.97,34.52,46.84
"WFMI",N/A,N/A,N/A,N/A,N/A
"WFR",N/A,N/A,N/A,N/A,N/A
"Weatherford Inter",N/A,0,0.71,11.11,17.38
"Whirlpool Corpora",13.47,0,0.57,104.06,160.01
"Windstream Holdin",37.26,0,0.78,7.18,9.17
"WellPoint, Inc. C",N/A,0,0.36,60.41,94.36
"Waste Management,",21.66,0,1.45,35.50,46.38
"Williams Companie",47.04,0,3.93,31.25,41.90
"WMI",N/A,N/A,N/A,N/A,N/A
"Wal-Mart Stores, ",14.41,0,0.51,68.13,81.37
"WPI",N/A,N/A,N/A,N/A,N/A
"WPO",N/A,N/A,N/A,N/A,N/A
"Western Union Com",11.43,0,1.62,13.80,19.50
"WWY",N/A,N/A,N/A,N/A,N/A
"Weyerhaeuser Comp",31.87,0,2.07,26.38,33.24
"WYE",N/A,N/A,N/A,N/A,N/A
"Wyndham Worldwide",21.93,0,1.83,52.84,75.25
"United States Ste",N/A,0,0.22,15.80,31.15
"Xcel Energy Inc. ",15.25,0,1.33,26.90,31.79
"XL Group plc",N/A,0,N/A,27.79,33.12
"Xilinx, Inc.",22.83,0,5.68,34.98,49.19
"Exxon Mobil Corpo",12.36,0,0.97,84.79,101.74
"Xerox Corporation",11.70,0,0.59,7.75,12.65
"XTO",N/A,N/A,N/A,N/A,N/A
"Yahoo Inc.",30.25,200,8.46,20.58,41.72
"Yum! Brands, Inc.",31.15,0,2.49,63.16,78.68
"Zions Bancorporat",19.05,0,2.62,23.10,32.29
"Zimmer Holdings, ",21.53,0,3.52,72.24,97.86
